word,source_lists,cefr_level,frequency_rank,pos,en_definition,ja_translation
day,NGSL|NGSL-Spoken|CEFR-J,A1,85,noun,each of the 24 hours beginning at midnight,日
where,NGSL|NGSL-Spoken|CEFR-J,A1,86,adverb,to be in at or in what place?,どこ
thing,NGSL|NGSL-Spoken|CEFR-J,A1,87,noun,"an object, animal, or quality doesn't have a specific name",物
most,NGSL|NGSL-Spoken|CEFR-J,A2,88,adverb,almost all of something,もっとも
should,NGSL|NGSL-Spoken|CEFR-J,A1,89,verb,used to indicate what is proper or reasonable,～すべき
need,NGSL|NGSL-Spoken|CEFR-J,A1,90,verb,require because it is essential or important,必要とする
much,NGSL|NGSL-Spoken|CEFR-J,A1,91,adverb,large in amount or extent,たくさん
right,NGSL|NGSL-Spoken|CEFR-J,A1,92,adjective,"to be true, correct or acceptable",正しい
how,NGSL|NGSL-Spoken|CEFR-J,A1,93,adverb,by what means or manner?,どのようにして
back,NGSL|NGSL-Spoken|CEFR-J,A2,94,noun,the rear surface of something,背
mean,NGSL|NGSL-Spoken|CEFR-J,A2,95,verb,to have in mind as your purpose or intention,～するつもりだ
even,NGSL|NGSL-Spoken|CEFR-J,B1,96,adverb,"being flat, equal or smooth ",平らな、等しい
may,NGSL|NGSL-Spoken|CEFR-J,A1,97,verb,used to express possibility or probability,かもしれない
here,NGSL|NGSL-Spoken|CEFR-J,A1,98,adverb,"in this place, at this location or position",ここ
many,NGSL|NGSL-Spoken|CEFR-J,A1,99,determiner,used to refer a large number of things,たくさん
such,NGSL|NGSL-Spoken|CEFR-J,A2,100,adjective,like or similar,そのような
last,NGSL|NGSL-Spoken|CEFR-J,B1,101,ord,"coming after others, final",最後
child,NGSL|NGSL-Spoken|CEFR-J,A1,102,noun,a young person,子供
tell,NGSL|NGSL-Spoken|CEFR-J,A1,103,verb,to say or communicate information to someone,話す
really,NGSL|NGSL-Spoken|CEFR-J,A1,104,adverb,very or very much,本当に
call,NGSL|NGSL-Spoken|CEFR-J,A1,105,verb,"to speak, announce or shout in a loud voice",呼ぶ
before,NGSL|NGSL-Spoken|CEFR-J,A1,106,preposition,"at an earlier time, in front of",以前
company,NGSL|NGSL-Spoken|CEFR-J,A2,107,noun,a business that sells thing or provides services,会社
through,NGSL|NGSL-Spoken|CEFR-J,B1,108,preposition,into one side and out of the other side,～の間
down,NGSL|NGSL-Spoken|CEFR-J,B2,109,adverb,going from a higher position to a lower position,下へ
show,NGSL|NGSL-Spoken|CEFR-J,A2,110,verb,to cause or allow to be seen,見せる
life,NGSL|NGSL-Spoken|CEFR-J,A1,111,noun,the existence of a human being or animal,生命
man,NGSL|NGSL-Spoken|CEFR-J,A1,112,noun,an adult male human being,男性
change,NGSL|NGSL-Spoken|CEFR-J,A1,113,verb,to make or become different,変える
place,NGSL|NGSL-Spoken|CEFR-J,A1,114,noun,a particular area or region,場所
long,NGSL|NGSL-Spoken|CEFR-J,A1,115,adjective,extending a great distance ,長い
between,NGSL|NGSL-Spoken|CEFR-J,A1,116,preposition,in the space that separates to objects,～の間
feel,NGSL|NGSL-Spoken|CEFR-J,A2,117,verb,to be aware of or experience an emotion or sensation,感じる
too,NGSL|NGSL-Spoken|CEFR-J,A1,118,adverb,"in addition, also",～もまた
still,NGSL|NGSL-Spoken|CEFR-J,A1,119,adverb,used to express that an action or condition continues,まだ
problem,NGSL|NGSL-Spoken|CEFR-J,A1,120,noun,something that is difficult to deal with or needs to overcome,問題
write,NGSL|NGSL-Spoken|CEFR-J,A1,121,verb,to compose letters and words on a surface,書く
same,NGSL|NGSL-Spoken|CEFR-J,A1,122,adjective,"identical, not different",同じ
lot,NGSL|NGSL-Spoken|CEFR-J,A1,123,noun,a small piece of land that is or could be used for building something or for some other purpose ,用地
great,NGSL|NGSL-Spoken|CEFR-J,A1,124,adjective,"very large in size, extent or amount",巨大な、多量の
try,NGSL|NGSL-Spoken|CEFR-J,A1,125,verb,"to make an effort, to attempt to do something",試す
leave,NGSL|NGSL-Spoken|CEFR-J,B1,126,verb,"to go away from, depart from",去る
